63.4 2 0.026 0.00181 0
63.8 2 0.0243 0.00167 0
64.2 2 0.0228 0.00155 0
64.6 2 0.0213 0.00143 0
65 2 0.0199 0.00133 0
65.4 2 0.0187 0.00123 0
65.8 2 0.0175 0.00114 0
66.2 2 0.0163 0.00105 0
66.6 2 0.0153 0.000977 0
67 2 0.0143 0.000905 0
67.4 2 0.0133 0.000838 0
67.8 2 0.0125 0.000776 0
68.2 2 0.0117 0.000718 0
68.6 2 0.0109 0.000666 0
69 2 0.0102 0.000617 0
69.4 2 0.00953 0.000571 0
69.8 2 0.0089 0.000529 0
70.2 2 0.00832 0.00049 0
70.6 2 0.00777 0.000453 0
71 2 0.00726 0.00042 0
71.4 2 0.00679 0.000389 0
71.8 2 0.00634 0.00036 0
72.2 2 0.00592 0.000333 0
72.6 2 0.00553 0.000309 0
73 2 0.00517 0.000286 0
73.4 2 0.00482 0.000265 0
73.8 2 0.0045 0.000245 0
74.2 2 0.00421 0.000227 0
74.6 2 0.00393 0.00021 0
75 2 0.00367 0.000195 0
75.4 2 0.00342 0.00018 0
75.8 2 0.0032 0.000167 0
76.2 2 0.00298 0.000154 0
76.6 2 0.00278 0.000143 0
77 2 0.0026 0.000132 0
77.4 2 0.00242 0.000123 0
77.8 2 0.00226 0.000114 0
78.2 2 0.00211 0.000105 0
78.6 2 0.00197 9.74e-05 0
79 2 0.00184 9.02e-05 0
79.4 2 0.00171 8.36e-05 0
79.8 2 0.0016 7.74e-05 0
80.2 2 0.00149 7.17e-05 0
80.6 2 0.00139 6.63e-05 0
81 2 0.0013 6.14e-05 0
81.4 2 0.00121 5.68e-05 0
81.8 2 0.00113 5.26e-05 0
82.2 2 0.00105 4.87e-05 0
82.6 2 0.000981 4.52e-05 0
83 2 0.000915 4.18e-05 0
83.4 2 0.000854 3.87e-05 0
83.8 2 0.000796 3.58e-05 0
84.2 2 0.000742 3.32e-05 0
84.6 2 0.000692 3.07e-05 0
85 2 0.000645 2.85e-05 0
85.4 2 0.000602 2.63e-05 0
85.8 2 0.000561 2.44e-05 0
86.2 2 0.000523 2.26e-05 0
86.6 2 0.000487 2.09e-05 0
87 2 0.000454 1.94e-05 0
87.4 2 0.000423 1.79e-05 0
87.8 2 0.000394 1.66e-05 0
88.2 2 0.000368 1.54e-05 0
88.6 2 0.000343 1.42e-05 0
89 2 0.000319 1.32e-05 0
89.4 2 0.000297 1.22e-05 0
89.8 2 0.000277 1.13e-05 0
90.2 2 0.000258 1.05e-05 0
90.6 2 0.000241 9.69e-06 0
91 2 0.000224 8.98e-06 0
91.4 2 0.000209 8.31e-06 0
91.8 2 0.000195 7.7e-06 0
92.2 2 0.000181 7.13e-06 0
92.6 2 0.000169 6.6e-06 0
93 2 0.000157 6.11e-06 0
93.4 2 0.000146 5.66e-06 0
93.8 2 0.000136 5.24e-06 0
94.2 2 0.000127 4.85e-06 0
94.6 2 0.000118 4.49e-06 0
95 2 0.00011 4.16e-06 0
95.4 2 0.000102 3.85e-06 0
95.8 2 9.48e-05 3.57e-06 0
96.2 2 8.77e-05 3.3e-06 0
96.6 2 8.11e-05 3.06e-06 0
97 2 7.51e-05 2.83e-06 0
97.4 2 6.97e-05 2.62e-06 0
97.8 2 6.5e-05 2.43e-06 0
98.2 2 6.11e-05 2.25e-06 0
98.6 2 5.79e-05 2.08e-06 0
99 2 5.56e-05 1.92e-06 0
99.4 2 5.41e-05 1.77e-06 0
99.8 2 5.35e-05 1.69e-06 0
